recipe_id,title,ingredients,reference,prediction,method
10,Peanut Butter Pie,1 graham cracker crust 1 box vanilla pudding (instant) 1 c. powdered sugar 3/4 c. peanut butter 1 small tub Cool Whip,"Prepare pudding according to package directions. In a separate bowl, mix sugar and peanut butter. Add this mixture to pudding, reserving 1/4 cup of the sugar and peanut butter mixture. Pour into crust and cover with Cool Whip. Sprinkle remaining sugar-peanut butter mixture on top. Refrigerate until serving time.","Preheat oven to 350°. Grease and flour a 9 x 13-inch pan. In a large bowl, combine graham crumbs, powdered sugar, peanut butter and Cool Whip. Pour into pan. Bake at 350° for 30 minutes or until a toothpick inserted in the center comes out clean.",finetuned_beam
11,Grilled Chicken Satays With Peanut Sauce,"1/4 cup soy sauce 3 tablespoons vegetable oil 2 tablespoons fish sauce 2 teaspoons ginger, chopped 2 teaspoons garlic, chopped 1 teaspoon ground coriander 1/2 teaspoon red pepper flakes 2 lbs boneless skinless chicken breasts, trimmed and cut into thin strips (about 3 x 1/4 inch each) peanut sauce (recipe posted separately) chopped peanuts, garnish cilantro, garnish","In a medium bowl, combine the soy, oil, fish sauce, ginger, garlic, coriander, and pepper flakes. Add the chicken and toss to coat. Let marinate in the refrigerator for 2 hours, turning occasionally. Preheat the grill to medium high (or preheat the broiler). Remove the chicken from the marinade and thread 1 strip of chicken down the middle of each skewer. In batches, cook the satays on the grill (or on a broiler pan under the broiler) until the chicken is cooked through and the meat is browned, 2 to 3 minutes per side, watching carefully and turning so the meat does not burn. To serve, arrange the skewers on a platter and lightly drizzle with the peanut sauce and chopped peanuts. Serve additional sauce in a bowl on the side for dipping. Garnish with cilantro sprigs and serve hot or at room temperature.","Heat oil in a large skillet over medium-high heat. Add soy sauce, fish sauce, ginger, garlic, corianders, red pepper, and pepper flakes. Cook, stirring occasionally, until fish sauce thickens, about 5 minutes. Stir in chicken, peanut sauce, peanuts, and cilantro. Cover and cook, stirring frequently, until chicken is cooked through, about 10 minutes. Serve immediately.",finetuned_beam
12,Roasted Veggies and Tilapia #RSC,"4 tilapia fillets 1 lemon pepper olive oil 1 small zucchini, cubed 1 small yellow squash, cubed 2 cups grape tomatoes, sliced in half 1 onion, chopped 1 bunch asparagus spear, cut into 1 inch pieces 2 tablespoons italian seasoning 2 tablespoons butter, melted Reynolds Wrap Foil",line a bakintg sheet with foil. toss vegies in a large bowl with enough olive oil to coat. add about 2 tbs italian seasoning and toss. put on foil covered baking sheet and roast at 450 for about 25 minutes or. until tender. on a separate baking sheet lined w/ foil put cooled veggies and add the talipia on top. brush each talipia with butter. squeeze lemon over each and sprinkle lightly with black pepper. cover w/ foil and bake in a 400 degree oven fo about 12 minutes or until fish flakes easily with fok.,"Preheat the oven to 350 degrees F (175 degrees C). Place the fillets in a large bowl and toss with the lemon pepper and olive oil. Place the lemon peppers in the bowl of a food processor and pulse until finely chopped. Add the squash, onion, squash, tomato, onion and the seasoning. Pulse until the mixture resembles coarse meal. Spoon the mixture into a greased and floured 9 x 13-inch baking dish. Sprinkle with the butter. Bake for 20-25 minutes or until the vegetables are tender. Serve warm or at room temperature.",finetuned_beam
13,Reuben Sandwich Mix,"8 oz. shredded Swiss cheese 3 pkg. corned beef, snipped in pieces 1 1/2 c. diced onion 1 1/2 c. Hellmann's mayonnaise 1 lb. can sauerkraut, well drained",Mix all together and bake at 325° for 30 minutes or until heated through. Serve on cocktail rye or Reuben rye bread.,"Combine cheese, onion and mayo. Mix well. Pour into 9 x 13-inch pan. Bake at 350° for 30 minutes.",finetuned_beam
14,Machboos Or Fooga  (Traditional United Arab Emirates Dish),"4 cups water 4 chicken bouillon cubes or 5 teaspoons chicken stock powder 2 tablespoons olive oil 8 -10 bone-in chicken pieces, skin removed (if it is the breast pieces, cut those in half since they are very large) 2 whole dried limes (loomi) 1/8 teaspoon saffron 1 large onion, chopped 1 large tomatoes, chopped 1 garlic clove, minced 1/2 - 3/4 teaspoon ground cinnamon 1 1/2 teaspoons ground turmeric 1 1/2 teaspoons ground cumin 1 1/2 teaspoons curry powder 1/2 teaspoon cayenne pepper (optional) or 1/2 teaspoon chili powder (optional) 3/4 - 1 teaspoon salt 2 cups basmati rice, rinsed and drained","Preheat oven to 375°F and grease a 9x13 baking dish. Bring water to boiling and add chicken bouillon cubes, lower heat and add dried limes and saffron and let simmer till bouillon is dissolved --keep it hot. Sprinkle chicken with half the spices (except the garlic). Heat the olive oil in a large skillet on med-high to high heat and fry the chicken till both sides are brown, lower heat to medium and remove the chicken to a plate. In that same skillet saute the onions for 2 minutes, add tomatoes, garlic and remaining spices and saute another 2 minutes, then turn off the burner. Add the rice and stir for about 30 seconds to 1 minute, till well coated. Spread rice in the baking dish and place the chicken pieces over the rice. Gently press the dried limes on the sides of the pot to distribute flavor in the broth and then poor on the rice and chicken (the whole thing including the dried limes) and cover tightly with foil. Bake for 40-45 minutes--do not open the foil cover at all until the time is up. If you want to eat this the authentic way, you can lay newspaper on the floor (for easy cleanup of spills), put all of this on a very large platter or on a couple large sheets of aluminum foil laid on the newspaper and everyone sits around and eats with their right hand!","In a large bowl, combine the water, bouillon, stock powder, olive oil, limes, onions, tomatoes, garlic, saffrons, spices, cinnamon, turmeric, cumin, curry powder, spices and salt. Bring to a boil over medium heat. Reduce heat to low and simmer, uncovered, for 30 minutes or until the chicken is cooked through. Serve with rice.",finetuned_beam
15,"Butternut Squash, Bacon And Lentil Soup","2 - 3 slices bacon roughly chopped (whatever you've got - ham is fine) 1 butternut squash (peeled and chopped into approx 1 inch pieces) 1 - 2 sticks celery, washed & roughly chopped 1 - 2 leeks washed & chopped 1 - 2 medium carrots washed & chopped Butter - depending on how healthy you've decided to be! 1.5 - 2 litres of stock - it has to be Bouillon A dash of milk (maybe a quarter pint) A couple of good tablespoons of dried red lentils (I use these because you don't have to soak them overnight). Puy lentils would be fine too. Maldon salt & freshly milled black pepper Cream & parsley to finish (optional)","Everything is roughly chopped as you will blend it at the end anyway. Fry the bacon in the butter (a good egg size lump for me!) on a low to medium heat just to colour it (not crisp it). 5 minutes later add the pieces of butternut squash, celery, leeks, and carrot and sweat off for 5 - 10 mins on a low heat. Don't colour the vegetables - you're just trying to soften them. Add the stock (use your imagination on how thick you like your soup but I'd have thought about 1.5 - 2 litres would be good). Stir and let simmer for at least half an hour. Add your lentils and simmer for at least another half hour. If you leave the lid off the soup will become more concentrated. After an hour I normally add some milk - about a quarter pint and just let simmer on a low heat for another 15 minutes. Add some salt & pepper (to your taste). Once cooked, let cool for 10 minutes and then whizz with a hand blender. Once cool, I add some flat leaved parsley and (if not freezing) a swirl of cream. This freezes fabulously and is great for a lunch at work with some fresh crusty bread.","Preheat the oven to 350 degrees F (175 degrees C). In a large bowl, combine the bacon, squash, celery and leeks. In a small bowl, whisk together the stock, lentils, carrots, leeks, carrots and lentils. Add the stock mixture to the bacon mixture and mix well. Pour the mixture into a greased and floured baking dish. Bake for 20-25 minutes or until the squash is tender and the lentils are tender. Remove from the oven and let cool for 10 minutes before serving.",finetuned_beam
16,Apricot Salad,"1 (6 oz.) pkg. apricot jello 1/3 c. sugar 2/3 c. water 1 (8 oz.) cream cheese 1 (8 oz.) carton apricot yogurt 1 large jar apricot baby food 1 c. crushed pineapple, drained 1/2 c. pecans, chopped","Mix jello, sugar and water; heat until it boils. Cool. Beat together cheese and yogurt. Fold in baby food, pineapple and jello. Add pecans. Put in 1-quart mold or 6 x 10 pan. Serves 12 to 14.","Combine jello, sugar, water, cream cheese, yogurt and apricots. Mix well. Pour into 9 x 13-inch baking dish. Bake at 350° for 30 minutes.",finetuned_beam
17,Easy Cherry Crisp,"1 can cherry pie filling 6 Tbsp. butter or margarine, melted 3/4 c. brown sugar 3/4 c. rolled oats 1/2 c. flour 1 tsp. cinnamon","Pour pie filling into a greased pie plate or 8X8 inch pan. Combine remaining ingredients, and mix with a fork. Crumble mixture over pie filling. Bake at 350 degrees for 20 to 30 minutes, or microwave on High for 8 to 11 minutes, or until hot.","Cream butter and brown sugar until light and fluffy. Add oats, flour, cinnamon and sugar. Mix well. Pour into greased and floured 9 x 13-inch pan. Bake at 350° for 30 minutes.",finetuned_beam
18,Crazed Chocolate Biscuits,"125 g dark chocolate, finely chopped 23 cup plain flour 14 cup cocoa powder 1 teaspoon baking powder 1 pinch salt 60 g unsalted butter, at room temp 34 cup packed light brown sugar 1 egg, large 12 teaspoon vanilla extract 2 tablespoons milk 12 cup caster sugar 12 cup icing sugar","Melt the chocolate in the microwave (750 power) on low, or in a basin over hot water. Stir until chocolate is melted, then cool. Sift the flour, cocoa, salt and baking powder together. Beat the butter and brown sugar together until light and fluffy. Add the egg and vanilla, and mix well. Mix in the cooled melted chocolate. Reduce speed to low and add the flour mixture in two batches, alternating with the milk. Wrap the dough in cling wrap and refigerate until the dough is firm. (This will take at least 2 hours). When about to bake, preheat the oven to 175c (fan forced 155c). Line the trays with baking paper. Roll the dough into 2-5cm balls and roll in the caster sugar to coat then. toss the balls in the icing sugar and place balls on the lined trays about 5cm apart. Bake biscuits fior about 15 minutes or until the surfaces crack. Remove from oven and cool on tray.","Preheat oven to 350°F. Grease a 9 inch square baking pan. In a large bowl, combine chocolate, flour, cocoa powder, baking powder, salt and baking soda. Stir in butter, egg, vanilla extract, milk, caster sugar and icing sugar. Pour into prepared pan. Bake for 20 minutes, or until a toothpick inserted in the center comes out clean. Cool completely on a wire rack.",finetuned_beam
19,Hot Clam Dip,"1 can minced clams, mostly drained 1 1/2 pkg. Ritz crackers, crushed 1/2 c. butter 1 small onion, chopped fine squeeze of lemon",Mix all ingredients together. Put in ovenproof serving dish. Bake at 350° for 1/2 hour. Serve with party crackers (Wheat Thins are great!). Enjoy!,"Cook clams in boiling water until tender. Drain well. Melt butter in large skillet over medium-high heat. Add onion and cook until tender, about 5 minutes. Add clams and cook, stirring occasionally, until softened, about 3 minutes. Stir in crackers. Pour over clams.",finetuned_beam
20,Cajun Portobello Salad,"1/2 cup red wine vinegar 1/2 cup balsamic vinegar 1/2 cup tomato juice 2 tablespoon olive oil 2 tablespoon Dijon mustard 2 tablespoons stone-ground mustard 1/4 teaspoon coarsely ground pepper 4 portobello mushroom caps (about 5 inches wide) 1 tablespoon Cajun seasoning for steak 2 teaspoons olive oil 16 cups gourmet salad greens Tomatos thinly sliced red onion, 1 (15-ounce) can cannellini or other white beans, rinsed and drained blue cheese","Combine first 7 ingredients in a large zip-top plastic bag. Add mushrooms to bag; seal. Marinate 10 minutes, turning occasionally. Remove mushrooms from bag, reserving marinade. Sprinkle mushrooms with Cajun seasoning. Heat 2 teaspoons oil in a large nonstick skillet over medium-high heat until hot. Add mushrooms; cook 2 minutes on each side or until very brown. Cool; cut mushrooms diagonally into thin slices. Arrange salad greens on plate and top with mushroom slices, tomato wedges, and onion rings. Sprinkle with beans and blue cheese. Drizzle the reserved marinade evenly over salads.","In a large bowl, combine the vinegar, tomato juice, olive oil, mustard, pepper, and salt; toss to coat. Cover and refrigerate for at least 1 hour or overnight. In a small bowl, whisk together the cheese, tomatoes, green onions, and cajun seasonings. Season to taste with salt and freshly ground black pepper.",finetuned_beam
21,Prune Pillows,"1 12 cups prunes, cooked 13 cup sugar 1 tablespoon lemon juice 1 teaspoon orange zest 14 teaspoon allspice 1 dash salt 12 cup butter 34 cup sugar 1 egg, big 1 teaspoon orange zest 1 12 tablespoons orange juice 2 cups flour 34 teaspoon salt 1 teaspoon baking powder","cut prunes from pits(see,old lol) into little pieces add remaining filling ingredients. and cook. ,stirring until sugar is dissolved and mixture is thick dough cream sugar and butter add egg. blend in rind and juice sift dry ingredients add to creamed mixture make a stiff dough. chill overnight. roll about 1/8 inch thick. and cut into 3 1/2 circles. place a teaspoon of filling in center and fold dough over on each side towards center to cover filling fold ends to make rectangles about 1/8 inch on each side so there is a border. place folded side down on ungreased baking sheets and bake375 for 12 minutes until edges are browned remove to wire rack to cool.","Preheat oven to 350 degrees F (175 degrees C). Grease a 9 x 13-inch baking dish. In a large bowl, combine prunes and sugar. Add lemon juice, zest, salt, and allspices. Mix well. Add butter, egg, sugar, and egg yolks. Mix until well blended. Add flour, baking powder, baking soda, and salt and mix well. Pour into prepared dish. Bake in preheated oven for 45 minutes or until a toothpick inserted in the center comes out clean. Cool completely on a wire rack.",finetuned_beam
22,Party Mix,1 box Kellogg's Crispix 1 box Wheat Chex 1 pkg. of party pretzels 1 can of mixed nuts 1 can of cashews 1 cup of peanuts 1 stick of butter 5 Tbsp. of worcestershire sauce Juice of 1 lemon 5 tsp. garlic powder,"Mix both cereals, pretzels and nuts. Melt butter. Stir in garlic powder, lemon juice and worcestershire sauce. Pour butter mixture over cereal mixture to thoroughly coat it. Bake 250 degrees for 45 minutes, stirring every 15 minutes.",Mix all ingredients together. Pour into greased and floured 9 x 13-inch pan. Bake at 350° for 30 minutes.,finetuned_beam
23,"One-Pot Penne With Sausage, Pumpkin, And Fennel","1 tablespoon olive oil 1/2 fennel bulb, thinly sliced and roughly chopped 1 large carrot, peeled and chopped 2 cloves garlic, minced 1/2 teaspoon red pepper flakes 2 links (about 3.2 oz) Italian hot sausage, casing removed 1 leaf of sage 1/2 cup dry white wine (or 1/4 cup lemon juice + 1/4 cup water) 2 1/2 cups chicken stock 3 cups (8 oz) dried penne 3/4 cup canned pumpkin puree, unsweetened 1/2 a lemon, juiced (about 2 tablespoons) 1 teaspoon kosher salt 1/4 teaspoon freshly-grated black pepper 1/4 cup parsley, roughly chopped 1/2 cup finely grated Parmigiano Reggiano or Pecorino, plus more for serving fronds from the fennel bulb, for serving","In a large, tall-sided frying pan, heat the olive oil over medium heat. When glistening and hot, add the prepared fennel, carrot, garlic, and red pepper flakes. Continue to heat, stirring occasionally, until the fennel and carrot begin to soften, about 2 minutes. Add the sausage to the pan, breaking it up and crumbling it as it cooks, about 5 more minutes. Add the sage to the pan followed by the wine. Use the wine as a deglazing liquid to pick up any bits at the bottom of the pan. Let the wine reduce slightly for two minutes, until it gets rather fragrant. Add the chicken stock and penne to the pan. Stir to combine. Bring the liquid to a low boil, and push any pasta that is sticking out into the cooking liquid. Reduce heat to medium low so that the liquid is simmering. Cover and cook 7 minutes. Add the pumpkin and lemon juice. Stir to combine and cover to cook another 3 or so minutes. Remove the lid and stir the pasta. It should be close to al dente, and the sauce should be thickening. Let the sauce continue to reduce slightly over the heat as you add the salt, pepper, and parsley to the pan. Stir to combine. Taste the pasta and ensure it is cooked through. Shut the heat off-the sauce will thicken as it sits a bit more. Add the cheese to the pan and stir in. Taste for salt and adjust as necessary. I added another 1/4 teaspoon salt. Roughly chop/tear the fronds from the fennel bulb (optional) and stir into the pasta. Serve with another grating of cheese and cracked black pepper with each bowl and enjoy immediately! If you want more acidity, squeeze a lemon wedge over the top when serving.","Heat the oil in a large nonstick skillet over medium-high heat. Add the olive oil and saute until golden brown, about 5 minutes. Transfer to a large bowl and add the carrot and garlic. Saute until fragrant, about 2 minutes. Stir in the sausage, sage, wine, and stock. Bring to a boil, then reduce heat to medium-low. Reduce heat to low, cover, and simmer for 15 minutes, stirring occasionally, until the sausage is tender, about 10 minutes. Remove from the heat and stir in the penne. Season to taste with salt and pepper. Serve immediately.",finetuned_beam
24,Lettuce And Egg Salad,2 heads red leaf lettuce 3 hard-boiled eggs 3 ounces olive oil 1 1/2 ounces fresh lemon juice 2 tablespoons chopped onions 1 tablespoon chopped dill salt pepper,"Clean any yellow leaves from the lettuce. Wash the lettuce very well and cut in pieces. Drain well. Chop the onion and dill. Peel the eggs and cut in medium size pieces (6 pieces to an egg), cutting 1 egg in round slices. Mix the lettuce, eggs, onion and dill in a glass bowl. Lay the egg slices on top. Whisk together oil and lemon juice. Drizzle over salad. Salt and pepper to taste.","In a large bowl, combine lettuce, eggs, oil, lemon juice, onion, dill, salt and pepper. Cover and refrigerate for at least 1 hour.",finetuned_beam
25,Sweet And Sour Dipping Sauce,2 tablespoons cornstarch 1 cup pineapple juice 1/3 cup sugar 1 teaspoon salt 1/2 cup ketchup 1/4 cup vinegar 1/4 teaspoon mustard powder,Mix a little bit of the pineapple juice with the cornstarch to avoid lumps. Combine all the ingredients in a small sauce pan and bring to a boil. Reduce to a simmer and cook for about 5 minutes or until thick.,"Combine all ingredients in a large saucepan and bring to a boil. Reduce heat and simmer, uncovered, for 1 hour or until thickened.",finetuned_beam
26,Sliced Steak With Porcini Sauce,4 flat iron steaks 6 to 8 oz. each coarse salt 1/3 cup oil extra virgin 1 shallot finely chopped 2 cloves garlic finely chopped 1 cup ketchup 1/2 cup beef stock 1/4 cup worcestershire sauce 2 tablespoons balsamic vinegar 2 tablespoons brown sugar dried porcini mushrooms 3 to 4 tbsp.,"Preheat a griddle or cast-iron skillet over medium-high heat. Season the steaks with salt and pepper and coat with some EVOO. Cook, turning once, for 10 minutes for medium rare. Transfer to a cutting board and let rest for 10 minutes; thinly slice Meanwhile, in a small saucepan, heat 2 tbsp. EVOO, 2 turns of the pan, over medium-high heat. Stir in the shallot and garlic for 2 minutes; season with a little salt and lots of pepper. Add the ketchup, beef stock, worcestershire, vinegar, brown sugar and porcinis. Bring to a boil, then lower the heat and simmer for 20 minutes. Puree the mixture in a blender Top the steaks with the sauce and serve","Preheat oven to 350°. In a large skillet, heat oil over medium-high heat. Add steaks and saute until golden brown, about 5 minutes. Remove steaks from pan and set aside. Heat remaining oil in a large nonstick skillet. Add shallot, garlic, ketchup, beef stock, vinegar and brown sugar. Cook, stirring occasionally, until sauce thickens, about 3 minutes. Stir in porcupine mushrooms and cook, stirring, until mushrooms are tender, about 2 minutes. Add porcupines to pan and cook until heated through, about 1 minute more. Remove from heat and stir in ketchup and stir to combine. Pour sauce over steaks. Cover and refrigerate until ready to serve.",finetuned_beam
27,Hershey'S Disappearing Cake,1/4 c. butter 1/4 c. shortening 2 c. sugar 1 tsp. vanilla 2 eggs 3/4 c. Hershey's cocoa 1 3/4 c. unsifted all-purpose flour 3/4 tsp. baking powder 3/4 tsp. soda 1/8 tsp. saltilla 1 3/4 c. milk,"Generously grease and flour two 9-inch round cake pans. Cream butter, shortening, sugar and vanilla until fluffy; blend in eggs. Combine cocoa, flour, baking powder, baking soda and salt in bowl; add alternately with milk to batter. Blend well. Pour into pans; bake at 350° for 30 to 35 minutes or until cake tester inserted in center comes out clean. Cool 10 minutes, then remove from pan and use cocoa in your favorite frosting recipe.","Cream butter and shortening. Add sugar and vanilla. Add eggs, one at a time, beating well after each addition. Add cocoa, flour, baking powder, soda, saltilla and milk. Mix well. Pour into greased and floured 9 x 13-inch pan. Bake at 350° for 30 minutes.",finetuned_beam
28,Skillet Sausage And Sauerkraut,"2 tsp. butter 3 c. precooked or smoked meats 3/4 c. chicken broth 1 lb. sauerkraut, drained and rinsed 1 (16 oz.) can whole potatoes, drained 1/2 tsp. caraway seed 1/2 tsp. thyme 1/2 tsp. pepper","Melt butter in heavy pan; add sliced meats. Cook 2 to 4 minutes, stirring until brown. Add broth and stir 30 seconds. Add remaining ingredients and toss lightly to mix. Cover and simmer over moderately low heat 10 minutes, until hot and flavors blend. Makes 3 to 4 servings. Contains 311 calories.","Melt butter in large skillet over medium heat. Add meat and saute until browned. Stir in broth and sausages. Cook, stirring occasionally, until thickened, about 5 minutes. Add potatoes, caraway seeds, thyme, and pepper. Bring to a boil. Reduce heat and simmer, covered, until potatoes are tender, about 10 minutes.",finetuned_beam
29,Grandma Ruth'S Stuffing,"2 tablespoons olive oil 1 pound sliced fresh mushrooms 3 stalks celery, diced 2 onions, chopped 1 (20 ounce) loaf French or Italian bread, cut into 1 inch cubes 1 (16 ounce) package herb-seasoned stuffing mix 4 eggs, beaten 2 (14 ounce) cans chicken broth 2 teaspoons rubbed sage 2 teaspoons dried thyme 2 tablespoons garlic powder salt and pepper to taste","Heat oil in a large skillet over medium heat. Saute the mushrooms, celery, and onions until softened. Dampen the fresh bread cubes (not the stuffing mix), then squeeze out any excess water. In a large bowl, combine the mushroom mixture, bread cubes, stuffing mix, eggs, and 1 can chicken broth. Season with sage, thyme, garlic powder, salt, and pepper, and mix well. The stuffing should have a rather paste-like consistency. Mix in additional chicken broth as necessary. Loosely pack stuffing inside turkey cavity before roasting.","Heat the oil in a large skillet over medium-high heat. Add the mushrooms, celery and onions. Cook, stirring occasionally, until the mushrooms are tender, about 5 minutes. Stir in the bread cubes, broth, sage, thyme, garlic powder and salt. Bring to a boil. Reduce the heat to medium-low and simmer, uncovered, for 10 minutes, or until the stuffing is thickened and the mixture is bubbly. Remove from the heat and stir in the egg mixture. Cover and refrigerate for at least 1 hour. Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper. In a large bowl, combine the stuffing mix, eggs, chicken broth, herbs and garlic powder. Pour into the prepared baking sheet and bake",finetuned_beam
