recipe_id,title,ingredients,reference,prediction,method
10,White Burgundy Chicken over Buttered Egg Noodles,"salt 1 12 lbs wide egg noodles 6 tablespoons butter 12 cup fresh flat-leaf parsley, coarsely chopped black pepper 4 tablespoons extra virgin olive oil 6 (6 ounce) boneless skinless chicken breasts, cut into bite-size pieces 2 cups white burgundy 1 (16 ounce) bag frozen pearl onions, defrosted and patted dry on kitchen towels 4 garlic cloves, smashed 12 lb baby carrots 5 celery ribs 6 fresh thyme sprigs 2 bay leaves 3 tablespoons all-purpose flour 3 cups chicken stock 1 (10 ounce) package frozen peas, defrosted","Bring a large pot of water to a boil over high heat; add in salt and egg noodles; cook according to package directions; drain the noodles well, then transfer them to a large bowl. Add 3 tablespoons butter, the parsley, and a little salt and pepper; keep warm. While the water is coming to a boil, preheat a large nonstick skillet with 2 tablespoons oil over med-high heat. Preheat a large Dutch oven over medium heat. Season the chicken with salt and pepper; add half the chicken to the skillet; brown for about 2 minutes on each side. Remove the browned chicken to a plate and return the skillet to the heat. Add a little more oil and the remaining chicken; brown on both sides. Combine all the browned meat and deglaze the pan with 1 cup wine, using a wooden spoon to scrape up all the brown bits; remove pan from heat. While the first batch of chicken is cooking, add the remaining 2 tablespoons of oil and 3 tablespoons butter to the Dutch oven. Once the butter starts to bubble, add the pearl onions and garlic cloves; brown them for 4-5 minutes, until they are nice and brown all over. Cut the baby carrots into half lengthwise and cut the celery into 1 1/2 to 2 inch pieces. Strip the leaves off the thyme sprigs and chop. Add the baby carrots, celery, thyme, and bay leaves to the pearl onions and season with salt and pepper. Cook the vegetables, stirring them frequently, for 2 minutes. Sprinkle them with the flour and cook for 1 minute, then add the remaining cup of wine and the liquid from the chicken skillet. Add the chicken stock and bring everything up to a bubble, then add reserved chicken and simmer everything together for 10 minutes. Add the peas and cook about 1 minute, until heated through; discard the bay leaves. Serve over buttered noodles.","Preheat oven to 375 degrees F. Place cooked egg noodles in oil and brown on saucepan. Stir in noodles until tender. Cook 10 to 15 minutes, until noodles are golden and tender, about 1 minute longer than you think. Drain noodles from pans. Remove with a wooden spoon and return to oven to bake for 35 minutes or until noodles begin to tender, turning brown on all sides. Drain as well as you can. Add remaining noodles, stir until mixture is incorporated and golden, about 2 minutes.",finetuned_top_p
11,Lamb Vindaloo,"1- 1/2 Tablespoon Grainy Mustard 1- 1/2 teaspoon Ground Cumin 1 teaspoon Ground Turmeric 1 teaspoon Cayenne Peper (adjust Depending On Your Heat Tolerance) 1 teaspoon Salt 1 teaspoon Red Wine Vinegar 2 Tablespoons Olive Oil 1 Small Onion, Peeled & Cut Into Fine Half-rings 6 cloves Large Cloves Garlic, Peeled And Minced 2 pounds Boned Shoulder Of Lamb - Cut Into 1"" Cubes 23 cups Canned Coconut Milk - Well Stirred 23 cups Water 1 Small Green Chili (optional)","Combine mustard, cumin, turmeric, cayenne, salt and vinegar in a cup and mix well. Set aside. Put oil in large frying pan over medium-high heat. When the oil is hot, add the onion and cook until its medium brown. Add the garlic and cook another 30 seconds. Add the spice paste and cook another minute. Add meat and stir-fry for about 3 minutes more. Add the coconut milk and water, cover and bring to a boil. Lower heat to a simmer and cook for 60-70 minutes. Optional: Depending on the thickness and amount of sauce you prefer, the liquid can be reduced at this point. I like to reduce the liquid until its about 1/2 the amount the original recipe calls for. To do this, at the end of the 60-70 minutes of simmering, uncover the pan, bring the liquid to a boil and simmer until the sauce is 1/2 the amount you started with (about 10-15 minutes). Remove from heat and serve. Adapted from Madhur Jaffreys Quick & Easy Indian Cooking.","Heat 1 tsp Flour in oil. Add 2 teaspoons Worcestershire sauce, stir and whisk until smooth, about 1 minute. Pour in the hot milk. Pour on cubes, and sprinkle over side. Bake 10-15 minutes or until the pan dries. In a wire rack, heat 6 tablespoons olive oil over medium heat, stirring every 4 seconds, stirring to mix. When oil is thickly colored, add onion. Refrigerate the leftover peas for 6-8 hours or until they are partially cooked through. Add remaining 8-10 tablespoons oil to cream sauce. Stir until warmed through and the peas are lightly cooked. Serve on top of fresh mint slices.
InstructIONS: In a bowl, stir together the flour, Worcesterhire sauce and water. Pour over qu",finetuned_top_p
12,Bourbon Chocolate Pecan Pie,"1-1/4 cups all-purpose flour 1 tablespoon sugar 1/2 teaspoon salt 1/2 cup cold butter 3 to 5 tablespoons ice water 3 large eggs 1 cup packed dark brown sugar 1/2 cup light corn syrup 1/2 cup dark corn syrup 1/4 cup bourbon 2 tablespoons butter, melted 1/2 teaspoon salt 1-1/2 cups pecan halves, divided 3/4 cup 60% cacao bittersweet chocolate baking chips, divided","Combine flour, sugar and salt; cut in butter until crumbly. Gradually add water, tossing with a fork until dough holds together when pressed. Flatten into a disk. Wrap in plastic; refrigerate until easy to handle, about 1 hour. Preheat oven to 325°. On a floured surface, roll dough to a 1/8-in.-thick circle; transfer to a 9-in. pie plate. Trim pastry to 1/2 in. beyond rim of plate; flute edge. Beat first seven filling ingredients until blended. Stir in 1 cup pecans and 1/2 cup chocolate chips. Pour filling into crust; sprinkle with remaining pecans and chocolate chips. Bake until crust is golden brown and filling is puffed, 50-60 minutes. Cool completely on a wire rack.","Preheat oven to 350 degrees. Spray paper towels with nonstick cooking spray. In a bowl, beat together butter and sugar until creamy. Add eggs. Add remaining 1 cup, heat and stir until well combined. Add corn syrup and butter. Stir. Pour into graham cracker crust. Bake 30 to 40 minutes, or until the eggs are set on each side. Cool in pan, stirring occasionally. Remove from pan and rack on top.",finetuned_top_p
13,Apple Fritters,"1 c. flour 2 Tbsp. sugar 1 tsp. baking powder 1/4 tsp. salt 1 beaten egg 1/4 c. milk 2 c. finely chopped, peeled apple oil for frying powdered sugar 1 box vanilla pudding (3 oz.) 1 c. milk 3/4 c. oleo 1 can pineapple pie filler 3/4 c. sugar 1 pkg. coconut",Mix and cook together the pudding and milk. Cream for 20 minutes: oleo and sugar. Add to pudding mixture and pour on cake. Spread one can pineapple pie filler on top. Sprinkle coconut on cookie sheet and toast in oven until browned. Sprinkle on top. Refrigerate.,"In a large bowl, mix flour, sugar, baking powder and salt. Stir in egg, milk, oleoe and pineapple juice; blend well. Beat with mixer until well combined. In a separate bowl, whisk together the flour and sugar. In batches, stir with a wooden spoon until incorporated. In another bowl, combine the remaining flour and soda. Stir well to coat. In an extra-virgin olive oil-based mixing bowl, beat at medium-high speed until blended. Add to dry ingredients. Pour into a greased 12-inch round glass half-sheet pan and bake at 350 degrees for 25 minutes or until browned. Cool. Cut into squares in half. Brush chocolate spread generously with remaining chocolate. Place in the greased 6-inch and 10-inch gre",finetuned_top_p
14,Jerusalem Artichoke And Apple Purée,"3 pounds Jerusalem artichokes 2 apples 1 Yukon Gold or other yellow-fleshed potato 1 cup heavy cream 2 tablespoons butter Water, as necessary Salt and pepper, to taste","Peel the Jerusalem artichokes, potato, and apple and cut into rough 2-inch pieces. As you are prepping, drop them in lightly salted water so they don't discolor. Drain the vegetables and place in a pot with 1/2 cup of the cream and just enough water to cover the vegetables. Boil until tender. Drain puree using a food mill or potato ricer. Do not put in a food processor or blender, as it will come out gummy. Meanwhile, heat the remaining cream with the butter. When melted, stir into the puree lightly (you don't want to overwork it). If you want to make it ahead, you can cool the mixture down and then reheat in a hot 375° F oven. Place the potatoes in a Dutch oven or roasting pan, drizzle a couple tablespoons of water around the edges and a pinch of salt, and heat up for about 15 minutes, until the puree is hot throughout, and personally, I like to let it get a bit golden on the top.","Mix and divide Jerusalem artise and onion. Sift salt and pepper into 4 tablespoons flour. Mix sugar and water. Dip the marinade in flour until soft peaks appear. Set aside. Butter a 9 x 9 c. cupcake cupcake plate with the semisweet chocolate brownies, crusting each on a cookie sheet. Bake at 350 for 30 to 40 minutes, rotating aside in cooling dish.",finetuned_top_p
15,Sausage Soup,1 lb. hot Italian sausage olive oil 1 large can of tomatoes 2 cans of water (from tomato can) 2 small cans of mixed vegetables 1/2 c. barley Oregano and tarragon to taste 2 c. colored pasta twirls,"Brown sausage in small amount of olive oil. Add tomatoes and water and then vegetables, barley and seasonings.","Place sausage in a crock pot or wok; cover with water and simmer for 8 to 10 hours. Mix together vegetables and tomato. Serve warm with pasta. Recipe note: Easy Italian Sauce can be substituted for hot Italian Sauce.
Ingredients for Sausages: 1 whole chicken, drained and strung. 2 medium mushrooms, peeled and chopped into wedges. 2 bay leaves and 2 tsp. salt and pepper to taste. Combine meat and tomatoes. Place sausages in the crock-pot. Bring water to boil, cover and simmer 20 to 25 minutes. Drain sausage, add herbs and garlic, saute 3 to 4 minutes longer. Add wine vinegar, and simmer till seafood are tender, about 2 minutes. Remove from pot, reduce heat and let cool. Remove",finetuned_top_p
16,Simple Shortbread Cookie,"2 cups All-purpose Flour Plus More For Flouring Work Surface 1/4 teaspoons Salt 1 stick Unsalted Butter, Room Temperature 1/2 cups Powdered Sugar 1 teaspoon Vanilla Extract","In a large bowl, sift the flour and salt. Cream butter and powdered sugar in the bowl of a standing mixer until light and fluffy. Beat in vanilla. Reduce the speed to low and beat in the flour mixture until just incorporated. Gather dough and form it into a disk. Cover with plastic wrap and refrigerate for about 30 minutes to chill. Preheat oven to 350 F. Line 2 baking trays with parchment paper. On a lightly floured surface, roll out the dough to 1/4 inch thickness. Cut into rounds or other shapes using a floured cookie cutter. Place on the prepared baking sheets and place in the refrigerator for about 15 minutes. Remove the pans from the fridge and put them into the oven. Bake the cookies for 8 to 10 minutes, or until cookies are lightly browned. Remove from oven and let the cookies cool a few minutes on the baking sheet before transferring them to a wire rack to cool completely.","Cook Flour mixture together in a food processor until light golden. Transfer dough to a fork and knead until well mixed, about 1 minute. Transfer Flour to an 8x10 greased work surface. Add flour, salt and vanilla. Roll dough into 8-inch by 8-pounds pieces. In small bowl mix together egg whites, butter, sugar and vanilla (either at room temperature or at room temp and with gentle stirring occasionally). Beat in flour mixture, eggs and the vanilla. Use prepared sheets to stack dough. Bake in 2-3 ovens for 35 minutes or until slightly golden.",finetuned_top_p
17,Like Red Lobster Biscuits,2 c. Bisquick 2/3 c. milk 1/2 c. finely grated shredded cheese (Cheddar),Mix well and drop on cookie sheet. Makes 10 to 12 biscuits. Bake until slightly brown. Then brush top of hot biscuits with 1/4 cup melted butter and 1/4 teaspoon garlic powder.,"In a large food processor, process sour cream mixture until coarsely chopped. Add salt and pepper to taste. Mix and cover. Divide among prepared biscuit baking pans. Bake in 350°C oven at 350°F for 1 hour, or until golden brown on a wire rack.",finetuned_top_p
18,Mixed-Nut Spiced Toffee,"1 1/4 cups (2 1/2 sticks) unsalted butter 1 cup sugar 1/2 cup (packed) golden brown sugar 1/3 cup water 1 tablespoon mild-flavored (light) molasses 1/2 teaspoon salt 1/4 teaspoon ground allspice 2 cups coarsely chopped toasted mixed nuts (such as cashews, almonds, and pistachios) 5 ounces bittersweet (not unsweetened) or semisweet chocolate, coarsely chopped","Butter small rimmed baking sheet. Melt butter in heavy medium saucepan over low heat. Add next 6 ingredients; stir until sugars dissolve. Attach clip-on candy thermometer to pan. Increase heat to medium; boil until thermometer registers 290F, stirring slowly but constantly and scraping bottom of pan with wooden spatula, about 20 minutes. Remove pan from heat. Mix in 1 1/2 cups nuts. Immediately pour candy onto sheet. Spread toffee to 1/4-inch thickness. Immediately sprinkle chocolate atop toffee. Let stand 1 minute. Using back of spoon, spread chocolate over toffee. Sprinkle with 1/2 cup nuts. Chill 1 hour. Break toffee into pieces. (Can be made 2 weeks ahead. Chill in airtight container. Let stand at room temperature at least 30 minutes and up to 1 hour before serving.)","In a large bowl, combine eggs, sugar, molasses, water, and salt. Stir to blend. With a fork, stir mixture until light browned and smooth. Pour over vanilla bean and vanilla mix. Cover and chill in plastic dish to preheat, to chill.",finetuned_top_p
19,Thick Crispy Fried Potatoes,1500 grams potatoes 40 sea salt 25 grams sugar 750 milliliters sunflower oil,"In a large container or in a pot mix together 2 litres of cold water with salt and sugar, stir well, so that the sugar and salt dissolve completely. Peel the potatoes. Cut peeled potatoes into slices 15 mm / 0.6 inch thick. Place them in a brine. Set aside for 40 minutes. Turn the heat on to high, and bring the water to a boil in another pot. Meanwhile, drain off the brine and place the potatoes into a boiling water. Lower the heat and let it simmer slowly for 10 - 12 minutes. Drain the potatoes well and blot with paper towels to dry them, let the potatoes to cool and dry. Heat a large pot, filled with oil to 130 °C / 266 °F. Fry them in three batches, using a strainer gently place them in the hot oil. Fry each batch for about 8 minutes, they should be firm and golden. Lay them out on a tray, lined with a paper towel, let them cool and dry. Heat the same pot, filled with the same oil once again, this time to 190 °C / 375 °F. Once again fry the potatoes in three batches, using a strainer gently place them in the hot oil. Fry again for 5 - 7 minutes. Drain the potatoes on paper towels to remove any excess oil. This will prevent them of becoming greasy as the potatoes cool. Season to taste.","Preheat oven to 350 degrees F. Stir in potatoes, salt and pepper. Cut into 1 inch pieces and refrigerate until cool.",finetuned_top_p
20,Crab And Broccoli,"1 lb. cooked broccoli 1/2 lb. flaked crab 1 chopped onion 2 Tbsp. lemon juice 1/4 c. chili sauce 1 c. sour cream 1 c. grated Cheddar 1 Tbsp. lemon peel, grated","Drain broccoli and break into chunks. Bake with other ingredients in a shallow, buttered casserole at 350° for 20 minutes.",Cook broccoli and cut into thin ribbons. Reduce garlic and onions and season with salt and pepper. Cover with plastic wrap and refrigerate to at least 3 hours.,finetuned_top_p
21,Apricot Salad,"1 (6 oz.) pkg. apricot jello 1/3 c. sugar 2/3 c. water 1 (8 oz.) cream cheese 1 (8 oz.) carton apricot yogurt 1 large jar apricot baby food 1 c. crushed pineapple, drained 1/2 c. pecans, chopped","Mix jello, sugar and water; heat until it boils. Cool. Beat together cheese and yogurt. Fold in baby food, pineapple and jello. Add pecans. Put in 1-quart mold or 6 x 10 pan. Serves 12 to 14.","Beat the flour, soda and sugar together; coat in the apricots, cream cheese, water, pineapple, paprika and salt. Spray a 9x13-inch baking dish with cooking spray. In a small bowl, whisk together the dill and peel the peach, the pineapple, and pecks, reserving 2 tablespoons for sprinkling with marinade, adding more marinated the eggs, if desired. Season with salt and pepper. Sprinkle some more apricos over the top of the dish and cover with foil. Bake in 350° for about 15 minutes, until the aprigolds begin to set. To serve, top with the banana marinated ingredients, some pineapple wedges and soften the edges. Garnish with the remaining fruit wedges.",finetuned_top_p
22,Beet Salad with Plums and Goat Cheese,"12 2-inch-diameter beets, tops trimmed 1/2 cup white wine vinegar 1 teaspoon sugar 1/2 cup vegetable oil 1/4 cup walnut oil or olive oil 1 1/2 pounds firm but ripe plums, pitted, cut into 1/2-inch pieces 1 medium-size red onion, sliced into rings 1 1/2 6-ounce bags fresh baby spinach leaves 8 ounces soft fresh goat cheese (such as Montrachet), crumbled","Preheat oven to 375F. Wrap beets tightly in foil packages (3 beets in each). Place on baking sheet. Roast beets until tender, turning packages occasionally, about 1 hour 45 minutes. Unwrap beets; cool completely. Peel beets and cut into 1/4-inch-thick rounds. Place in large bowl. Combine vinegar and sugar in blender. Gradually blend in vegetable oil, then walnut oil. Season vinaigrette to taste with salt and pepper. (Beets and vinaigrette can be prepared 2 days ahead. Cover separately; refrigerate. Let beets stand 2 hours at room temperature before continuing. Rewhisk vinaigrette before using.) Toss beets with 1/4 cup vinaigrette. Toss plums and onion with cup vinaigrette in another large bowl. Season with salt and pepper. Overlap beets around edge of platter. Mound spinach in center of platter; drizzle with some vinaigrette. Spoon plums and onion over salad. Sprinkle with goat cheese and serve.","In a large bowl, combine vinegar, white wine, vegetable oil, and sugars; stir together. Simmer until all ingredients are blended. Place in a salad bowl. Season beets with salt and pepper. Store in the refrigerator or up to 6 months.",finetuned_top_p
23,Rye Bread Bowl,1 pt. sour cream 1 pt. Hellmann's mayonnaise 2 tsp. dill weed 2 tsp. Bon Appetit or celery salt 2 Tbsp. dried minced onions 2 Tbsp. dried parsley 1 (12 oz.) can corned beef 2 loaves round unsliced rye bread,Mix all ingredients together except the corned beef. Break up corned beef very small and add to mixture.,Lightly toast bread with the topping of thyme. Stir in the mustard. Drizzle extra mustard onto bread. Bake in 350 degree oven at 350 degrees.,finetuned_top_p
24,Grandma'S Cranberry Salad,"1 (12 ounce) package frozen cranberries 1 (8 ounce) can crushed pineapple, drained 1 cup chopped pecans 1 (10 ounce) package miniature marshmallows 1 cup sugar 1 pint heavy whipping cream","Put cranberries in a food processor and blend until well chopped. Transfer cranberries to a large bowl, and mix in pineapple, pecans, marshmallows and sugar. In a medium bowl, beat cream with an electric mixer until stiff peaks form. Fold whipped cream into cranberry mixture. Chill until ready to serve. (Or, freeze for 2 hours before serving.)","Combine ingredients in a medium saucepan over medium high heat. Cook, stirring, until frozen. Remove from heat, and set aside. In a large bowl, combine carrots and pine nuts and mix well. Transfer mixture to center pan. Chill for 2 hours in plastic wrap and chill in refrigerator overnight.",finetuned_top_p
