recipe_id,title,ingredients,reference,prediction,method
10,White Burgundy Chicken over Buttered Egg Noodles,"salt 1 12 lbs wide egg noodles 6 tablespoons butter 12 cup fresh flat-leaf parsley, coarsely chopped black pepper 4 tablespoons extra virgin olive oil 6 (6 ounce) boneless skinless chicken breasts, cut into bite-size pieces 2 cups white burgundy 1 (16 ounce) bag frozen pearl onions, defrosted and patted dry on kitchen towels 4 garlic cloves, smashed 12 lb baby carrots 5 celery ribs 6 fresh thyme sprigs 2 bay leaves 3 tablespoons all-purpose flour 3 cups chicken stock 1 (10 ounce) package frozen peas, defrosted","Bring a large pot of water to a boil over high heat; add in salt and egg noodles; cook according to package directions; drain the noodles well, then transfer them to a large bowl. Add 3 tablespoons butter, the parsley, and a little salt and pepper; keep warm. While the water is coming to a boil, preheat a large nonstick skillet with 2 tablespoons oil over med-high heat. Preheat a large Dutch oven over medium heat. Season the chicken with salt and pepper; add half the chicken to the skillet; brown for about 2 minutes on each side. Remove the browned chicken to a plate and return the skillet to the heat. Add a little more oil and the remaining chicken; brown on both sides. Combine all the browned meat and deglaze the pan with 1 cup wine, using a wooden spoon to scrape up all the brown bits; remove pan from heat. While the first batch of chicken is cooking, add the remaining 2 tablespoons of oil and 3 tablespoons butter to the Dutch oven. Once the butter starts to bubble, add the pearl onions and garlic cloves; brown them for 4-5 minutes, until they are nice and brown all over. Cut the baby carrots into half lengthwise and cut the celery into 1 1/2 to 2 inch pieces. Strip the leaves off the thyme sprigs and chop. Add the baby carrots, celery, thyme, and bay leaves to the pearl onions and season with salt and pepper. Cook the vegetables, stirring them frequently, for 2 minutes. Sprinkle them with the flour and cook for 1 minute, then add the remaining cup of wine and the liquid from the chicken skillet. Add the chicken stock and bring everything up to a bubble, then add reserved chicken and simmer everything together for 10 minutes. Add the peas and cook about 1 minute, until heated through; discard the bay leaves. Serve over buttered noodles.","Preheat oven to 350 degrees F. In a large bowl, combine the egg noodles, butter, and salt. Stir in the parsley and cook until the noodles are soft and the noodles have softened. Add the chicken stock and cook for about 5 minutes, stirring occasionally. Add in the garlic and cook, stirring constantly, until the chicken is tender and the garlic is soft. Add all of the vegetables and cook on low for about 10 minutes, until they are soft. Remove from the heat and let cool completely.
Serve with a side of the chicken breast and a side salad.
This recipe is a great way to make a chicken breast soup. It's a great soup for a quick lunch or dinner. It also makes a great appetizer.
I've made this soup a",pretrained_greedy
11,Lamb Vindaloo,"1- 1/2 Tablespoon Grainy Mustard 1- 1/2 teaspoon Ground Cumin 1 teaspoon Ground Turmeric 1 teaspoon Cayenne Peper (adjust Depending On Your Heat Tolerance) 1 teaspoon Salt 1 teaspoon Red Wine Vinegar 2 Tablespoons Olive Oil 1 Small Onion, Peeled & Cut Into Fine Half-rings 6 cloves Large Cloves Garlic, Peeled And Minced 2 pounds Boned Shoulder Of Lamb - Cut Into 1"" Cubes 23 cups Canned Coconut Milk - Well Stirred 23 cups Water 1 Small Green Chili (optional)","Combine mustard, cumin, turmeric, cayenne, salt and vinegar in a cup and mix well. Set aside. Put oil in large frying pan over medium-high heat. When the oil is hot, add the onion and cook until its medium brown. Add the garlic and cook another 30 seconds. Add the spice paste and cook another minute. Add meat and stir-fry for about 3 minutes more. Add the coconut milk and water, cover and bring to a boil. Lower heat to a simmer and cook for 60-70 minutes. Optional: Depending on the thickness and amount of sauce you prefer, the liquid can be reduced at this point. I like to reduce the liquid until its about 1/2 the amount the original recipe calls for. To do this, at the end of the 60-70 minutes of simmering, uncover the pan, bring the liquid to a boil and simmer until the sauce is 1/2 the amount you started with (about 10-15 minutes). Remove from heat and serve. Adapted from Madhur Jaffreys Quick & Easy Indian Cooking.","1. In a large bowl, combine the coconut milk, water, onion, garlic, chili, and salt. Add the chopped onion and cook for about 5 minutes. Add in the chopped green chili and cook until the onions are translucent. Add all the ingredients except the coconut oil and stir until the mixture is thickened. Add a little more water and stir to combine. Add another tablespoon of water and cook on low for about 10 minutes. Remove from the heat and let cool.
2. In the bowl of a stand mixer fitted with a paddle attachment, beat the cream cheese, cream of tartar, and sugar until smooth. Add to the bowl a little bit of the chopped onions and stir. Add more water, and beat until the cream is incorporated. Add some more of the",pretrained_greedy
12,Bourbon Chocolate Pecan Pie,"1-1/4 cups all-purpose flour 1 tablespoon sugar 1/2 teaspoon salt 1/2 cup cold butter 3 to 5 tablespoons ice water 3 large eggs 1 cup packed dark brown sugar 1/2 cup light corn syrup 1/2 cup dark corn syrup 1/4 cup bourbon 2 tablespoons butter, melted 1/2 teaspoon salt 1-1/2 cups pecan halves, divided 3/4 cup 60% cacao bittersweet chocolate baking chips, divided","Combine flour, sugar and salt; cut in butter until crumbly. Gradually add water, tossing with a fork until dough holds together when pressed. Flatten into a disk. Wrap in plastic; refrigerate until easy to handle, about 1 hour. Preheat oven to 325°. On a floured surface, roll dough to a 1/8-in.-thick circle; transfer to a 9-in. pie plate. Trim pastry to 1/2 in. beyond rim of plate; flute edge. Beat first seven filling ingredients until blended. Stir in 1 cup pecans and 1/2 cup chocolate chips. Pour filling into crust; sprinkle with remaining pecans and chocolate chips. Bake until crust is golden brown and filling is puffed, 50-60 minutes. Cool completely on a wire rack.","Preheat oven to 350 degrees F. Line a 9-inch baking sheet with parchment paper. In a large bowl, combine flour, sugar, salt, and baking soda. In another bowl, mix together the eggs, corn syrup, and bourbon. In the same bowl, beat together the butter, corn, and sugar until well combined. Add the pecan half and mix until well blended. Add in the bourbon and mix well. Pour the mixture into the prepared baking sheet. Bake for 20 minutes or until the edges are golden brown. Remove from the oven and let cool completely.
Bake for 10 to 15 minutes or till the edges have a nice golden brown color. Remove the pan from the baking sheet and let it cool completely before serving.
If you like this recipe, please share",pretrained_greedy
13,Apple Fritters,"1 c. flour 2 Tbsp. sugar 1 tsp. baking powder 1/4 tsp. salt 1 beaten egg 1/4 c. milk 2 c. finely chopped, peeled apple oil for frying powdered sugar 1 box vanilla pudding (3 oz.) 1 c. milk 3/4 c. oleo 1 can pineapple pie filler 3/4 c. sugar 1 pkg. coconut",Mix and cook together the pudding and milk. Cream for 20 minutes: oleo and sugar. Add to pudding mixture and pour on cake. Spread one can pineapple pie filler on top. Sprinkle coconut on cookie sheet and toast in oven until browned. Sprinkle on top. Refrigerate.,"Preheat oven to 350 degrees F. In a large bowl, combine flour, sugar, baking powder, salt, and egg. In another bowl, mix together the egg, milk, and vanilla pudding. In the same bowl, beat together the pineapple pie filling and the oleos. In addition, mix the sugar, oleol, and coconut until smooth. Pour the pudding mixture into a large, shallow bowl and stir in the vanilla pudding mixture. Pour into a greased 9x13 baking dish and bake for 20-25 minutes or until the pudding is golden brown. Remove from the oven and let cool completely.
Serve with a scoop of whipped cream, a scoop or two of whipped chocolate chips, or a scoop and a scoop.
Recipe adapted from: The Apple F",pretrained_greedy
14,Jerusalem Artichoke And Apple Purée,"3 pounds Jerusalem artichokes 2 apples 1 Yukon Gold or other yellow-fleshed potato 1 cup heavy cream 2 tablespoons butter Water, as necessary Salt and pepper, to taste","Peel the Jerusalem artichokes, potato, and apple and cut into rough 2-inch pieces. As you are prepping, drop them in lightly salted water so they don't discolor. Drain the vegetables and place in a pot with 1/2 cup of the cream and just enough water to cover the vegetables. Boil until tender. Drain puree using a food mill or potato ricer. Do not put in a food processor or blender, as it will come out gummy. Meanwhile, heat the remaining cream with the butter. When melted, stir into the puree lightly (you don't want to overwork it). If you want to make it ahead, you can cool the mixture down and then reheat in a hot 375° F oven. Place the potatoes in a Dutch oven or roasting pan, drizzle a couple tablespoons of water around the edges and a pinch of salt, and heat up for about 15 minutes, until the puree is hot throughout, and personally, I like to let it get a bit golden on the top.","Preheat oven to 350 degrees F. In a large bowl, combine the flour, baking powder, baking soda, baking salt, baking oil, and salt. In another bowl, mix together the butter, oil, salt, and pepper. Add the onion and cook, stirring occasionally, until soft and translucent, about 5 minutes. Add in the potatoes, and cook for another 5 minutes, stirring frequently. Add all the ingredients and cook until the potatoes are tender, about 10 minutes. Remove from the oven and let cool completely.
Ingredients for the Jerusalem Artisan Bread: 1 cup flour 1 cup butter 1 cup sugar 1 teaspoon salt 1 teaspoon pepper 1 teaspoon ground cinnamon 1 teaspoon nutmeg 1 teaspoon vanilla extract 1 teaspoon baking soda 1 teaspoon cinnamon powder 1 teaspoon black pepper 1/2 teaspoon ground cloves",pretrained_greedy
15,Sausage Soup,1 lb. hot Italian sausage olive oil 1 large can of tomatoes 2 cans of water (from tomato can) 2 small cans of mixed vegetables 1/2 c. barley Oregano and tarragon to taste 2 c. colored pasta twirls,"Brown sausage in small amount of olive oil. Add tomatoes and water and then vegetables, barley and seasonings.","Preheat oven to 350 degrees F. In a large bowl, combine the olive oil, tomatoes, water, pasta twirling, and pasta. Stir until combined. Add the pasta mixture to the hot sauce and stir until it is thickened. Add in the pasta and stir to combine. Add salt and pepper to taste. Add to the sauce and mix well. Cover and refrigerate for at least 1 hour.
Serves 4.
Directions: In a small bowl, mix together the olive oils, tomatoes and water. Add pasta mixture and stir well. Add into the hot mixture and mix until it has thickened and is well mixed. Add a little more salt and a little bit more pepper to the mixture. Mix well.
Add in the tomato mixture and add in the water",pretrained_greedy
16,Simple Shortbread Cookie,"2 cups All-purpose Flour Plus More For Flouring Work Surface 1/4 teaspoons Salt 1 stick Unsalted Butter, Room Temperature 1/2 cups Powdered Sugar 1 teaspoon Vanilla Extract","In a large bowl, sift the flour and salt. Cream butter and powdered sugar in the bowl of a standing mixer until light and fluffy. Beat in vanilla. Reduce the speed to low and beat in the flour mixture until just incorporated. Gather dough and form it into a disk. Cover with plastic wrap and refrigerate for about 30 minutes to chill. Preheat oven to 350 F. Line 2 baking trays with parchment paper. On a lightly floured surface, roll out the dough to 1/4 inch thickness. Cut into rounds or other shapes using a floured cookie cutter. Place on the prepared baking sheets and place in the refrigerator for about 15 minutes. Remove the pans from the fridge and put them into the oven. Bake the cookies for 8 to 10 minutes, or until cookies are lightly browned. Remove from oven and let the cookies cool a few minutes on the baking sheet before transferring them to a wire rack to cool completely.","Preheat oven to 350 degrees F. Line a baking sheet with parchment paper. In a large bowl, combine flour, salt, and vanilla. Add butter and mix until smooth. Add flour mixture to the dry ingredients and mix well. Add the flour mixture and mix. Add more flour mixture until the dough is smooth. Fold in the dough and fold in the sugar. Fold the dough into the prepared baking sheet. Bake for 15-20 minutes or until the edges are golden brown. Remove from oven and let cool completely.
If you like this recipe, please share it with your friends!
If this post is helpful to you, please consider sharing it with a friend.
I hope you enjoyed this simple cookie recipe. I hope you found it helpful.
This post contains affiliate links.",pretrained_greedy
17,Like Red Lobster Biscuits,2 c. Bisquick 2/3 c. milk 1/2 c. finely grated shredded cheese (Cheddar),Mix well and drop on cookie sheet. Makes 10 to 12 biscuits. Bake until slightly brown. Then brush top of hot biscuits with 1/4 cup melted butter and 1/4 teaspoon garlic powder.,"Preheat oven to 350 degrees F. In a large bowl, combine the milk, cheese, and Bisquick. Stir in the milk mixture until well combined. Add the shredded cheese and mix well. Pour into a large mixing bowl and mix until smooth. Pour in the remaining milk mixture and mix. Pour over the top of the biscuits. Bake for 15-20 minutes or until the buns are golden brown. Remove from the oven and let cool completely.
Recipe adapted from The Biscuit Bites of the World by David B. Smith.
This recipe is adapted from the Biscut Bites by David Smith.",pretrained_greedy
18,Mixed-Nut Spiced Toffee,"1 1/4 cups (2 1/2 sticks) unsalted butter 1 cup sugar 1/2 cup (packed) golden brown sugar 1/3 cup water 1 tablespoon mild-flavored (light) molasses 1/2 teaspoon salt 1/4 teaspoon ground allspice 2 cups coarsely chopped toasted mixed nuts (such as cashews, almonds, and pistachios) 5 ounces bittersweet (not unsweetened) or semisweet chocolate, coarsely chopped","Butter small rimmed baking sheet. Melt butter in heavy medium saucepan over low heat. Add next 6 ingredients; stir until sugars dissolve. Attach clip-on candy thermometer to pan. Increase heat to medium; boil until thermometer registers 290F, stirring slowly but constantly and scraping bottom of pan with wooden spatula, about 20 minutes. Remove pan from heat. Mix in 1 1/2 cups nuts. Immediately pour candy onto sheet. Spread toffee to 1/4-inch thickness. Immediately sprinkle chocolate atop toffee. Let stand 1 minute. Using back of spoon, spread chocolate over toffee. Sprinkle with 1/2 cup nuts. Chill 1 hour. Break toffee into pieces. (Can be made 2 weeks ahead. Chill in airtight container. Let stand at room temperature at least 30 minutes and up to 1 hour before serving.)","Preheat oven to 350 degrees F. Line a 9-inch baking sheet with parchment paper. In a large bowl, whisk together the butter, sugar, and molasses. Add the water and stir until combined. Add in the chocolate, and stir to combine. Add all of the nuts and mix well. Pour into a 9x13 baking dish. Bake for 20 minutes or until the tops are golden brown. Remove from the oven and let cool completely.
Serve warm with a scoop of whipped cream.
Recipe adapted from The Nutcracker:
Ingredients for the Spiced Spiced toffee:
1 cup unsalted unsalted sugar 1 cup (2 sticks), unsalted water 1/8 teaspoon vanilla extract 1/6 teaspoon salt 2 tablespoons unsalted pecans 1/",pretrained_greedy
19,Thick Crispy Fried Potatoes,1500 grams potatoes 40 sea salt 25 grams sugar 750 milliliters sunflower oil,"In a large container or in a pot mix together 2 litres of cold water with salt and sugar, stir well, so that the sugar and salt dissolve completely. Peel the potatoes. Cut peeled potatoes into slices 15 mm / 0.6 inch thick. Place them in a brine. Set aside for 40 minutes. Turn the heat on to high, and bring the water to a boil in another pot. Meanwhile, drain off the brine and place the potatoes into a boiling water. Lower the heat and let it simmer slowly for 10 - 12 minutes. Drain the potatoes well and blot with paper towels to dry them, let the potatoes to cool and dry. Heat a large pot, filled with oil to 130 °C / 266 °F. Fry them in three batches, using a strainer gently place them in the hot oil. Fry each batch for about 8 minutes, they should be firm and golden. Lay them out on a tray, lined with a paper towel, let them cool and dry. Heat the same pot, filled with the same oil once again, this time to 190 °C / 375 °F. Once again fry the potatoes in three batches, using a strainer gently place them in the hot oil. Fry again for 5 - 7 minutes. Drain the potatoes on paper towels to remove any excess oil. This will prevent them of becoming greasy as the potatoes cool. Season to taste.","1. In a large bowl, combine the potatoes, salt, and oil.
2. Add the potatoes to a large pot and bring to a boil. Reduce the heat to medium-low and simmer for 10 minutes.
3. Remove from the heat and add the potatoes.
4. Add a little water to the pot and stir to combine.
5. Add 1/2 cup of the water and stir until the potatoes are well coated.
6. Add 2 tablespoons of the sugar and stir well.
7. Add another 1/4 cup of water and continue to stir until all the water has been added.
8. Add more water and bring the pot to a simmer.
9. Remove the pot from the pot, cover, and let it simmer for",pretrained_greedy
