title,ingredients,directions
Chocolat Chaud,"2 1/4 cups whole milk 1/4 cup bottled water 1/4 cup (generous) superfine granulated sugar 1 bar (100 grams) quality dark bittersweet chocolate, chopped with a serrated bread knife 1/4 cup cocoa powder, loosely packed","In a 2-quart saucepan, stir together the milk, water and sugar. bring to a boil over medium heat. Add the chopped chocolate and cocoa and bring to a boil again, whisking. Remove from the heat. Blend for a few minutes with an immersion mixer or blender until thick and foamy."
Chickpea And Spanish Chorizo Paella,"8 ounces spanish chorizo, sliced in half lengthwise and cut crosswise on the bias into 1/2-inch thick slices 3 tablespoons extra-virgin olive oil 1 medium red onions or 1 medium yellow onion, minced 6 garlic cloves, thinly sliced, plus 2 garlic cloves, minced salt 4 teaspoons paprika (not smoked, it's too strong) 1 large pinch saffron, threads crumbled 1 1/2 cups arborio rice (can substitute Calasparra rice or Bomba rice) 1 tablespoon chopped fresh thyme 4 cups chicken broth 1 1/2 cups cooked chickpeas, drained of any liquid 1 (14 ounce) can diced tomatoes, well drained 3/4 cup roasted red pepper, rinsed, patted dry and thinly sliced 1 cup frozen peas, defrosted 4 green onions, white and green parts, trimmed and thinly sliced on the bias 1 lemon, cut into wedges for serving","Add the chorizo to a 12-inch skillet and cook over medium-high heat, stirring frequently, until just beginning to brown, about 5 minutes. Transfer to a paper-towel-lined plate to drain; remove all but one tablespoon of the rendered fat from the skillet. Add the olive oil, onion, sliced garlic, and large pinch salt; cook over medium-high heat, stirring occasionally, until softened and just beginning to brown, about 5 minutes. Add the remaining garlic, paprika and saffron, and cook, stirring constantly, until fragrant and paprika has darkened, 1 minute. Stir in the rice; add thyme and broth, and bring to a simmer. Stirring occasionally with a rubber spatula to redistribute the broth and rice, cook for 10 minutes. Sprinkle the chickpeas, tomatoes, and red peppers evenly over the top. Cook uncovered, without stirring, until the liquid is completely absorbed and the rice is tender, about 10 minutes longer. Sprinkle peas, cooked chorizo and green onions over the rice; cover, and allow to sit for 5 minutes. Serve with lemon wedges on the side."
Anchoiade,"7 ounces anchovy filets canned, salted olive oil 15 cl. 1 clove garlic crushed","Clean and dessalez anchovy fillets. Rinse several times with clear water. In the bowl of a mixer fitted with the chopper, put the anchovies, garlic and half the oil. Blend the mixture finely adding oil as and. You can adjust the amount of oil depending on the desired consistency. If you went too fast and your anchoiade is too thin or too ""oily"", you can ""recover"" by adding a bit of bread and mixing again."
"Vickys Coffee Granita, Gluten, Dairy, Egg & Soy-Free",1200 ml water 9 tbsp ground espresso 5 tbsp sugar to taste,"Boil the water, add to the espresso and brew. Transfer the hot coffee to a cake pan or shallow bowl, add sugar and stir until dissolved. Taste and add more sugar if you like. Set aside to let cool slightly then freeze, uncovered, for 1 hour Gently rake a fork across the surface of the part frozen coffee mix, breaking up any ice crystals in the middle and around the edges Freeze 45 minutes more then repeat the process with the fork. Repeat the freezing and raking process 2 more times until all of the coffee is frozen into flaky crystals Spoon the granita into pretty bowls or glasses and serve"
Bonfire Burgers,"2 lbs ground beef 2 eggs, beaten 3/4 cup ketchup 2 tablespoons Worcestershire sauce 2 tablespoons finely chopped onions 2 teaspoons salt 8 slices bacon 8 hamburger buns, split and toasted 8 lettuce leaves 8 slices onions 8 slices tomatoes","Combine first 6 ingredients; mix well. Shape into 8 patties. Wrap a slice of bacon around each patty, securing with a toothpick. Grill patties over medium coals 8 to 10 minutes on each side or until desired degree of doneness. Place patties on bottom of buns. Top each with lettuce leaf, onion, and tomato slices; cover with bun tops."
Chocolate-Nutella-No Bake Squares,"1 cup Milk Chocolate, Melted 2 cups Confectioners Sugar 2 whole Sleeves (about 4 Oz. Size) Chocolate Graham Crackers (crumbled) 1/2 sticks Melted Sweet Cream Butter 8 ounces, weight Nutella (Or Any Hazlenut Spread)","Preparation time does not include 30-minute refrigeration time. In a mixing bowl, add melted milk chocolate and confectioner's sugar. Using a handheld mixer, cream together on low speed. Add crumbled chocolate graham crackers and melted butter, run mixer again on low to combine (I usually use a food processor). Transfer ingredients into a nonstick 8 x 8 inch dish, pack down with a spatula. Refrigerate 30 minutes. Remove from refrigerator and frost with Nutella (or any hazelnut or chocolate spread). Keep chilled until ready to cut squares and serve. That's it, easy and super delicious! Enjoy!"
Best Ever Cheese Ball,"2 (8 oz.) pkg. cream cheese, softened 12 oz. grated Cheddar cheese 1 Tbsp. mustard 2 Tbsp. mayonnaise 1/4 tsp. lemon juice 1 Tbsp. Worcestershire sauce",Mix all together (can be divided to make different flavors). Roll in chopped nuts and chill.
Turkey Pot Pie With Savoury Biscuit Topping,"1 12 cups flour 2 teaspoons baking powder 12 teaspoon salt 2 teaspoons summer savory 12 tsp.dried parsley 14 teaspoon dried thyme 13 cup cold cubed butter 23 cup milk 2 tablespoons butter 1 medium onion, finely diced 3 cups potatoes, finely diced 1 cup turnip, finely diced 12 cup celery, finely diced 1 cup carrot, finely diced 12 cup flour 1 teaspoon summer savory 14 teaspoon dried thyme 2 teaspoons salt 5 cups turkey stock (substitute chicken stock, if turkey stock isn't available) 1 12 cups turkey meat, cooked, chopped","BISCUIT: In a large bowl, mix flour, baking powder, salt, summer savoury, parsley, and thyme. Cut in cold butter until crumbly. Gradually add milk, mixing just until the dough comes together. Turn out onto a floured surface and roll out to fit a 9x13-inch pan. TURKEY POT PIE; Melt butter in a large pan. Add onion, potato, turnip, celery and carrot. Saute for 5-7 minutes. Mix flour with summer savoury, thyme and salt. Add to vegetables in pan, sitrring constantly. Allow to brown but not to burn. Add to turkey stock, one cup at a time, stirring until thickened. Stir in turkey. Turn mixture out into 9x13-inch pan; top with savoury biscuit mixture. Bake at 325F for 25-30 minutes, or until topping is browned and fillling bubbly."
The Nordic Baking Book'S Kladdkaka (Swedish Gooey Chocolate Cake),"200 grams (7-ounces or 1 3/4 sticks) butter, plus extra to grease Breadcrumbs, to coat 200 grams (7-ounces) dark (semisweet) chocolate, broken into small pieces 4 eggs 250 grams (9-ounces or 1 1/4 cups) sugar 40 grams (1 1/2-ounces or 1/3 cup) weak (soft) wheat flour Good pinch of sea salt","Preheat the oven to 175°C/345°F/Gas Mark 4. Butter a 24-cm/9 1/2-inch springform cake pan and coat with breadcrumbs. Melt the butter in a medium pan over a low heat. Add the chocolate and keep melting everything together while stirring. Remove the pan from the heat and add the rest of the ingredients while you keep stirring until well combined. Scrape the batter into the prepared cake pan, smooth the surface and bake for 15 to 20 minutes. It should be sticky on the inside. If the cake gets too dark, cover it with aluminum foil for the last 5 minutes."
Peach Cobbler Milkshake,"1/2 gallons Peach Flavored Ice Cream 8 ounces, weight Frozen Peaches 1/4 cups Crumbled Oatmeal Cookies 1 cup Milk 1-1/4 cup Cinnamon Flavored Coffee Creamer (or Milk)","In a blender, combine all ingredients and mix until smooth. Top with extra cookie crumbs if desired."
Red Wine-Marinated Steaks With Grilled Vegetables,"2 cups dry red wine (such as Merlot) 1 tablespoon whole black peppercorns 1 tablespoon fennel seeds 1 bay leaf 2 (1-lb.) flank steaks, trimmed and divided 1 cup cherry tomatoes, halved 4 tablespoons extra-virgin olive oil, divided 1 tablespoon balsamic vinegar 1 1/2 teaspoons kosher salt, divided 1 1/2 teaspoons black pepper, divided 1/2 teaspoon chipotle chile powder 1/4 teaspoon onion powder Cooking spray 2 medium zucchini, cut diagonally into 1/2-in.-thick slices 2 yellow squash, cut diagonally into 1/2-in.-thick slices 1 cup loosely packed fresh basil leaves 2 tablespoons toasted pine nuts 2 tablespoons fresh lemon juice 1 tablespoon water 3 garlic cloves, coarsely chopped 1/4 cup whole-wheat panko (Japanese breadcrumbs), toasted","Bring wine, peppercorns, fennel seeds, and bay leaf to a boil in a saucepan; cook 10 minutes or until reduced by half. Place in a bowl; cool. Add 1 steak, turning to coat. Cover and chill 3 1/2 hours. Let stand at room temperature 30 minutes before grilling. Combine tomatoes, 1 tablespoon oil, vinegar, 1/4 teaspoon salt, and 1/4 teaspoon pepper in a bowl; let stand 30 minutes. Preheat grill to high. Remove steak from marinade; discard marinade. Sprinkle marinated steak with 1/2 teaspoon salt and 1/2 teaspoon pepper. Cut remaining unmarinated steak in half. Combine 1/4 teaspoon salt, 1/4 teaspoon pepper, chile powder, and onion powder; rub over half of unmarinated steak (for Texas Barbecue Hash). Sprinkle remaining half of unmarinated steak with 1/4 teaspoon salt and 1/4 teaspoon pepper (for California Steak Salad). Coat grill grates with cooking spray. Add steaks to grill; grill 10 to 12 minutes, turning occasionally. Let marinated steak stand 10 minutes; cut across the grain into thin slices. Reserve remaining steak for California Steak Salad and Texas Barbecue Hash. Coat squashes with cooking spray; sprinkle with 1/4 teaspoon pepper. Grill 3 to 4 minutes on each side. Place remaining 3 tablespoons oil, 1/4 teaspoon salt, basil, and next 4 ingredients (through garlic) in a blender; blend until smooth. Divide squash and steak among 4 plates; top with tomato mixture, pesto, and panko. Don't worry about the recipe's long total time, most of it is spent allowing the steak to marinate and come to room temperature before grilling."
Ice Cream Dessert,"1 pkg. Lorna Doone cookies, crushed 1 stick butter 1 qt. butter pecan ice cream, softened 2 c. milk 2 pkg. vanilla instant pudding Cool Whip 6 Heath bars",Crush the cookies. Melt butter and mix with crumbs. Pat in a 9 x 13-inch pan. Bake 10 minutes in a 350° oven. Cool.
Cereal Candy,6 blocks Borden's Eagle Brand white chocolate 4 c. Golden Graham cereal 1 c. unsalted peanuts,"Melt chocolate in double boiler. Add cereal and peanuts. Mix well. Drop on waxed paper, using tablespoon to drop. Put in freezer for 10 minutes. This will keep for 2 to 3 weeks in a tine or you can keep it frozen. Take out of freezer 2 hours before serving. (Toasted pecans may be used instead of peanuts.)"
Blue Cheese Chicken Italiano,4 boneless skinless chicken breasts 1 can mushroom soup 14 cup crumbled blue cheese 14 cup sour cream 2 cloves minced garlic 1 (11 ounce) frozen pizza (your choice) 12 cup shredded mozzarella cheese,"Butter a 11 inch pie plate. smear 1/2 can of the soup in pie plate. Flatten chicken breast place ontop soup. in blender add 1/2 can soup, blue cheese,sour cream,and garlic. pour over chicken. place frozen pizza UPSIDE DOWN on chicken cover with foil bake 375 about 45 minutes sprinkle with cheese cook uncovered about 10 minutes."
Crispy Baked Chicken,4 to 5 lb. chicken parts (skinless) 1/2 c. skim milk 1/2 c. bread crumbs 2/3 c. Parmesan cheese 1 Tbsp. paprika 1 1/2 tsp. seasoned salt 1/2 tsp. onion powder 1/2 tsp. garlic powder 1/4 tsp. pepper,"Dip chicken in skim milk. Put all dry ingredients in plastic bag. Mix. Add chicken, 2 or 3 pieces at a time. Shake to coat. Place on cookie sheet sprayed with oil and bake at 350° for 1 hour or until done."
Pinenut Pesto,"2 c. Basil 1-2 Garlic Cloves 1 c. Parmesan Cheese 1/4 c. Romano Cheese 1/4 c. Olive Oil 1 c. Pinenuts, roasted 1 c. Italian Parsley",Best if run through a coarse grinder but can be pulse-ground in a food processor but do not puree.
Champagne Honey Mustard,1 cup dry mustard 1/4 cup honey 1/2 teaspoon salt 6 ounces flat champagne 1 tablespoon fresh lemon juice,Place all ingredients in blender or food processor and mix until smooth. Stop frequently to scrape down the sides of the work bowl. Transfer to a. jar with tight-fitting lid. Age in a cool dark place 3 to 4 months then. refrigerate.
Cranberry Or Whiskey Sours,1 (12 oz.) can lemonade concentrate 1 can whiskey or less 2 (12 oz.) cans orange juice or cranberry juice (prepared as on can) 1 egg,Mix all in blender. Add ice cubes. Pour into glasses.
Lemony Waldorf Salad,"1/2 cup walnut halves (2 ounces) 1 tablespoon minced shallot 1/2 teaspoon finely grated lemon zest 2 tablespoons fresh lemon juice 1 tablespoon white wine vinegar 1/4 cup plus 2 tablespoons canola oil 2 tablespoons walnut oil 1/2 teaspoon ground cumin Salt and freshly ground pepper 2 cups shredded romaine lettuce (4 ounces) 4 large radishes, halved lengthwise and thinly sliced crosswise (1 cup) 1 cup thinly sliced celery hearts (from 4 inner ribs) plus 1/4 cup chopped celery leaves 1 small head of frisee (6 ounces), coarsely chopped 1/4 cup golden raisins 1 Fuji applepeeled, quartered, cored and thinly sliced crosswise","Preheat the oven to 350. Spread the walnuts in a pie plate and toast for about 8 minutes, until golden and fragrant. Let the nuts cool, then break into pieces. Meanwhile, in a large bowl, combine the shallot and lemon zest with the lemon juice and vinegar. Whisk in the canola and walnut oils and the cumin. Season the dressing with salt and pepper. Add the shredded romaine lettuce to the bowl along with the toasted walnuts, radishes, sliced celery hearts, celery leaves, chopped frisee, raisins and apple. Toss well and serve right away."
Ham And Cauliflower Curry,"1 head cauliflower (about 2 1/4 lbs), cut into florets 7 oz long-grain rice 1 tbsp butter 3 tbsp flour 1-2 tsp curry powder 1 2/3 cups vegetable stock 3/4 cup heavy cream 7 oz carrots, peeled and thinly sliced 4 oz cooked ham, diced 1 1/4 cups frozen peas 1/3 cup hazelnuts, chopped and toasted","Cook the cauliflower in boiling salted water for 4-6 mins. Drain and refresh with cold water. Set aside. Cook the rice in boiling salted water according to the package directions. Melt the butter in a medium saucepan. Sprinkle with the flour and curry powder and cook and stir 30 seconds. Add the stock, cream and carrots and simmer for 5 mins. Add the cauliflower, ham and peas and simmer for 3 mins. Ladle the curry into bowls and sprinkle with the nuts. Serve with the rice."
Blueberry-Lemon Icebox Cake,"8 ounces mascarpone or plain whole-milk Greek yogurt, room temperature 3/4 cup powdered sugar 2 tablespoons finely grated lemon zest 2 1/2 cups chilled heavy cream 1 cup homemade or store-bought lemon curd, divided 16 graham crackers, divided 1 1/2 cups , divided 1/3 cup fresh blueberries","Line a 9x5"" loaf pan with plastic wrap, leaving overhang on all sides. Using an electric mixer on medium-high speed, beat mascarpone, powdered sugar, and lemon zest in a large bowl until fluffy, about 4 minutes. Reduce speed to low; gradually add cream. Increase speed to medium as mixture thickens; beat until medium peaks form. Transfer two-thirds of mascarpone mixture to another large bowl and fold in 1/2 cup lemon curd. Cover remaining mascarpone mixture; chill until ready to unmold and cover cake. Place a single layer of graham crackers over bottom of prepared pan, breaking as needed to fit. Using a small offset spatula, evenly spread a quarter of lemon cream over graham crackers. Dollop 1/2 cup jam over top, then gently spread evenly over lemon cream. Drizzle 1/4 cup lemon curd over. Spoon a third of remaining lemon cream over curd and top with another layer of graham crackers. Repeat layering process with half of remaining lemon cream, 1/2 cup jam, and remaining lemon curd. Finish with a final layer of lemon cream, then graham crackers. Cover with plastic wrap; freeze at least 6 hours. Cover and chill remaining jam until ready to serve cake. Uncover cake and invert pan onto a platter. Using the plastic overhang to help you, unmold cake; peel off plastic. Spread top and sides of cake with reserved mascarpone mixture (if mixture looks a little loose, whisk until soft peaks form before using). Chill in freezer at least 15 minutes. Just before serving, mix blueberries into reserved jam and spoon over cake. Cake can be made 2 days ahead. Cover and keep frozen."
Chicken Spiedies,1/2 cup olive oil 1/4 cup wine vinegar 1 teaspoon salt 1 teaspoon pepper 1 teaspoon oregano 1 teaspoon paprika 1 clove fresh garlic 1 red onion Chicken stock,"Add chicken and ingredients to slow cooker cover with chicken stock Serve with pita, tomato, cucumber, tzatziki sauce"
Marinated Fish (Escabeche),"1 (3 lb.) swordfish, cut into slices 1 c. flour 1 c. olive oil 2 sliced onions 2 green peppers, sliced 1 c. stuffed olives 1/2 c. capers 1 tsp. salt 1/2 tsp. whole black pepper 1/2 tsp. paprika olive oil and vinegar as required","Coat the fish pieces all over with flour. Heat oil in skillet and when hot, fry the fish pieces. Remove fish and set aside, then fry the sliced onions and peppers in the same skillet. In a crock or other vessel, combine the fish pieces, onion and peppers, the capers, salt, pepper, paprika and olives. Cover with equal amounts of oil and vinegar. Close tightly and allow to marinate for a week or more before serving. Serves 6 to 8."
Beef Misoyaki,"1 pound Rib eye Roast Beef, thinly sliced 1 tablespoon sesame seeds 1 cup miso light see * Note 1 1 cup sake see * Note 2 1 teaspoon msg optional 1 tablespoon sugar 1 tablespoon soy sauce 1 tablespoon peanut oil","* Note 1: Fermented soybean paste; available in Japanese and Oriental markets. * Note 2: Japanese wine; widely available. Toast the sesame seeds in a frying pan. Cook only until a few pop and the rest turn golden brown. Grind seeds with a mortar and pestle or run through a food blender. Do not grind too fine. Add the miso to the sesame seeds and mix well. Add the soy sauce, sugar, optional MSG and sake. Spread one-half of the mixture on a platter and place the beef slices in the marinade. Brush the remaining marinade on top. Let stand for 30 minutes to 1 hour. Remove the beef from the marinade, scrape off the excess marinade and reserve. Broil or pan fry with a little oil until just cooked - about 5 minutes. Heat the leftover marinade and serve with the beef. Generally this dish is eaten with boiled rice."
Spareribs With Sesame Seeds,"1 kg pork spareribs, cut into 3 cm (not racks, 1 1/4 inch) 1 tablespoon sesame seeds 2 tablespoons oil 2 scallions, finely chopped 4 cm piece fresh ginger, grated 3 garlic cloves, finey chopped 2 tablespoons caster sugar (superfine) 2 tablespoons rice wine 1 tablespoon soy sauce 2 teaspoons sesame oil 1 1/4 cups hot water 2 teaspoons cornflour (cornstarch)","Trim pork of excess fat. dry fry sesame seeds til just golden. remove and cool. Grind in a food processor or morat and pestle. Heat oil in pan. Brown ribs over high heat, turning often until dark golden. Drain excess oil from pan. Add half sesame seeds with the scallion, ginger, garlic, sugar, rice wine, sake, sesame oil and water. Cover and simmer for 45 - 50 mins, stirring occasionly. Combine cornflour with a little cold water. Add to pan, stirring constantly until mixture boils and thickens. Sprinkle with remaining crushed sesame seeds."
Lamb & Lentil Stew With Coriander,"1 pound lamb shoulder, cut into chunks 4 garlic cloves, peeled and slivered 2 tablespoons olive oil 6 pearl onions, peeled 3 1/2 cups lamb or beef stock 1 tablespoon coriander seeds, toasted and ground 2 bay leaves 1 cup lentils, rinsed, drained, impurities removed Salt and freshly ground pepper, to taste 1 to 2 teaspoons vinegar or dry red wine 6 sprigs fresh coriander","Slit chunks of lamb and insert garlic slivers, set aside. In a heavy-bottom casserole, heat oil over medium heat. Add onions and cook, stirring occasionally, until lightly caramelized, 10 to 12 minutes. Add lamb and brown on all sides. Add stock, coriander and bay leaves. Cover and decrease heat to medium-low. Cook until tender, about 1 1/2 hours. Discard bay leaves. Set lamb aside. Combine lentils and broth. Cover and cook until lentils are tender, 20 to 25 minutes. Return lamb to pot and season with salt and pepper. Heat through. Add vinegar or wine before serving, Garnish with fresh coriander."
Marinated Mushrooms,"1/4 c. butter or margarine 1/2 c. sherry cooking wine 1/4 tsp. chopped garlic 1/2 lb. fresh mushrooms, rinsed and sliced thick 1 heaping Tbsp. brown sugar onion salt","Melt butter in medium skillet. Add garlic and mushrooms. Sprinkle mushrooms with onion salt and add sherry and brown sugar. Saute until tender, about 10 minutes. Serve in broth with salt and pepper to taste. Serves 2 to 4."
Betty's Rolls,"3 tablespoons yeast 12 cup warm water 3 cups milk, heated in microwave 2 minutes 58 cup margarine, melted (10 TBS) 3 eggs, beat 1 12 teaspoons salt 34 cup sugar 9 -10 cups flour (usually 10) shortening","Mix milk, margarine, eggs, salt, sugar. Add yeast. Now add 9-10 cups flour (usually 10). Knead in mixer on low 8 minutes. Place in a bowl that has been greased with shortening. Turn dough all around in bowl to cover with grease. Cover and let rise until double (about and hour). Make small rolls. Place on pammed cookie sheets. Let rise for about and hour. Bake at 350 for 13-18 minutes. Watch to not burn bottom. Immediately place on a cooling rack and rub top with shortening on a paper towel."
Lemon Buttermilk Cake,1 c. butter or margarine 3 c. sugar 5 egg yolks 1 c. buttermilk 3/4 tsp. soda 1/8 tsp. salt 3 c. flour 5 egg whites 2 Tbsp. lemon extract,"Cream butter and sugar. Add egg yolks, one at a time, beating well after each addition. Add soda to 1/2 cup buttermilk. Add salt to remaining 1/2 cup buttermilk. Add flour and buttermilk mixtures alternately."
Red Bean And Chicken Chili,"1 tablespoon canola oil 1 large onion, chopped 3 garlic cloves, minced 1 teaspoon ground cumin 1 1/2 chipotle chiles in adobo, chopped (or more to taste) 1 (28 ounce) can whole tomatoes, crushed in a bowl 2 cups chicken stock 3 (15 ounce) cans red beans or (15 ounce) cans pinto beans, with their liquid kosher salt & freshly ground black pepper 20 chicken wings, cooked and meat removed from bones 1/2 cup fresh cilantro, chopped 1 cup monterey jack cheese, grated 1 cup sour cream, for serving 14 ounces corn tortilla chips, for serving","Heat the oil in a large saucepan over medium heat; cook onions, stirring often, until softened, about 10 minutes. Stir in garlic, cumin, and 1 1/2 chopped chipotle peppers (or more to taste) and cook, stirring, for 1 minute. Stir in tomatoes and chicken stock; turn heat up to medium high and bring to a boil. Meanwhile, mash half the beans with a fork (on a plate); add mashed beans, whole beans, salt and pepper to the pot and reduce heat to simmer for 15 minutes. Stir in chicken and half the cilantro; simmer 5 minutes more (add water if chili becomes too thick). Ladle chili into bowls; garnish with cheese, sour cream, and chips."
Flourless Peanut Butter Cookies,2 C Peanut Butter 1/2 C White Sugar 1 C Brown Sugar 2 Eggs 1 tsp Vanilla,Preheat oven to 350 degrees. Mix ingredients together. Drop by spoonful on cookie tray. Bake for 8 minutes. Let cool and remove from pan.
Refrigerator Bran Muffins,"2 cups wheat bran 1 cup bran buds (look like little pebbles) or 1 cup all-bran cereal (look like little twigs) 1 cup boiling water 2 cups buttermilk 1/4 cup butter, melted 1/4 cup applesauce (no-added sugar) 1 cup sugar 2 large eggs 1/2 teaspoon pure vanilla extract 2 1/2 cups whole wheat flour 2 teaspoons baking soda 1/2 teaspoon salt","In a large bowl with a tight fitting lid, place the wheat bran flakes (or plain wheat bran) and the bran buds or all-bran. Pour the boiling water over the bran and mix well. Stir every couple of minutes while the mixture cools to room temperature. The mixture will become very thick and sticky. After the mixture cools, add the buttermilk, melted butter, applesauce, sugar, eggs and vanilla. Mix well. Add the flour, baking soda and salt. Mix well to combine all the ingredients together. The batter can be covered well and kept in the refrigerator for up to 30 days. To bake, scoop the batter into greased or lined muffin tins. Bake at 400 degrees for about 20 minutes, until a toothpick inserted in the center of a muffin comes out clean or with a few moist crumbs."
